Node	Stat	adj.P.Value	Feature
M437	0.085609903	0.247056197	TraitB
M438	0.108024348	0.141937761	TraitB
M131	-0.148951303	0.039469076	TraitB
M425	0.070482123	0.34597239	TraitB
M333	0.090908962	0.220128033	TraitB
M145	-0.136873626	0.059947289	TraitB
M30	-0.099714266	0.177204685	TraitB
M420	-0.131029273	0.071636224	TraitB
M138	-0.126427555	0.082611615	TraitB
M112	-0.131583726	0.070504927	TraitB
M42	-0.105613575	0.151464867	TraitB
M137	-0.111964752	0.127973524	TraitB
M375	0.09403051	0.204810467	TraitB
M222	0.11124665	0.130035216	TraitB
M99	-0.112646217	0.125715249	TraitB
M49	0.084118131	0.255845451	TraitB
M121	-0.094573971	0.20238879	TraitB
M178	0.080164904	0.279887541	TraitB
M350	0.052328663	0.487246156	TraitB
M46	0.13337654	0.067298834	TraitB
M43	0.095254215	0.199246461	TraitB
M135	0.101273819	0.170081473	TraitB
M227	0.129263938	0.075595751	TraitB
M479	0.070171922	0.347511213	TraitB
M183	0.087030842	0.240828892	TraitB
M229	0.090228719	0.223488035	TraitB
M398	0.091310758	0.218401904	TraitB
M32	-0.067395992	0.368811433	TraitB
M314	-0.065038344	0.386379352	TraitB
M187	0.058126608	0.438136198	TraitB
M335	0.089729833	0.225811284	TraitB
M353	0.071702775	0.337364707	TraitB
M206	0.051840158	0.490696847	TraitB
M34	0.06694962	0.371508963	TraitB
M442	0.061654225	0.411219036	TraitB
M419	0.086381741	0.244200465	TraitB
M186	0.058416658	0.436626057	TraitB
M196	0.080502583	0.278321936	TraitB
M9	-0.048802267	0.51511317	TraitB
M124	-0.033365507	0.6595003	TraitB
M116	-0.104388649	0.156490986	TraitB
M175	0.021814194	0.771501108	TraitB
M143	0.019739269	0.791465847	TraitB
M149	-0.085622116	0.247056197	TraitB
M316	-0.078511925	0.290556007	TraitB
M184	0.060103222	0.423758955	TraitB
M424	0.049392748	0.511867625	TraitB
M324	-0.085783323	0.247056197	TraitB
M133	-0.088018844	0.23542384	TraitB
M354	0.064703108	0.388204977	TraitB
M31	-0.04997529	0.507447042	TraitB
M348	0.030587134	0.686753151	TraitB
M180	0.03884287	0.605413945	TraitB
M167	0.03865846	0.605897892	TraitB
M173	0.022768	0.765987595	TraitB
M144	-0.048197132	0.519773242	TraitB
M148	-0.001344	0.984368823	TraitB
M210	0.061917407	0.409974116	TraitB
c17_3	0.103694972	0.159198867	TraitB
M315	0.054589221	0.468297036	TraitB
M441	0.003758436	0.96066378	TraitB
M405	-0.099488332	0.177833389	TraitB
M26	0.041849619	0.576970536	TraitB
M141	0.008543954	0.911210281	TraitB
M48	0.077958082	0.293678392	TraitB
M440	-0.03205265	0.672251136	TraitB
M321	-0.049163761	0.512842906	TraitB
M37	-0.083974022	0.256093638	TraitB
M85	-0.074514121	0.316961114	TraitB
M347	0.011967764	0.873382693	TraitB
M209	0.047696414	0.523419277	TraitB
M51	0.02180992	0.771501108	TraitB
M208	0.019831474	0.791465847	TraitB
M207	0.044769047	0.551295616	TraitB
c17_2	0.059885226	0.42461688	TraitB
M349	-0.05307974	0.481312121	TraitB
M343	0.005374777	0.943970545	TraitB
M416	-0.063478181	0.39757301	TraitB
M7	-0.026718174	0.726522516	TraitB
M21	-0.037587412	0.615721636	TraitB
M25	0.043513589	0.561318361	TraitB
M27	-0.014090318	0.852720343	TraitB
M35	0.043925155	0.558493424	TraitB
M39	-0.014861546	0.845737431	TraitB
M56	-0.026327981	0.729191593	TraitB
M97	0.012750593	0.866291046	TraitB
M123	0.022232476	0.770291985	TraitB
M163	-0.024423422	0.748951151	TraitB
M211	0.00180869	0.981190319	TraitB
M212	-0.028420004	0.709153711	TraitB
M228	0.056731315	0.449667854	TraitB
M230	-0.040172215	0.59293887	TraitB
M289	0.006038533	0.938366543	TraitB
